system,SID,raw_score,z_score,annotators,lp,raw_score_norm,z_score_norm
Facebook_FAIR.6862,985,99.0,0.647779985632952,2,en-de,0.5766972885470859,0.5094903251387616
Facebook_FAIR.6862,983,99.5,0.685966843091341,2,en-de,0.6099532595712429,0.5740858594242807
Facebook_FAIR.6862,1927,74.5,0.090929667914957,2,en-de,-1.0528452916366078,-0.43245793099229995
Facebook_FAIR.6862,1916,90.5,0.74923316019853,2,en-de,0.011345781136416662,0.681104918540866
Facebook_FAIR.6862,1516,99.0,0.627894695246969,2,en-de,0.5766972885470859,0.4758530728902634
Facebook_FAIR.6862,971,98.0,0.56215223760487,2,en-de,0.5101853464987719,0.36464546222835054
Facebook_FAIR.6862,1005,92.0,0.32187452733294,2,en-de,0.11111369420888771,-0.041799794201274984
Facebook_FAIR.6862,968,98.5,0.485140591802258,2,en-de,0.5434413175229289,0.23437529238660465
Facebook_FAIR.6862,473,99.5,0.773909039368683,2,en-de,0.6099532595712429,0.7228457609418889
Facebook_FAIR.6862,1985,95.5,0.790546270366367,2,en-de,0.3439054913779868,0.750988711078544
Facebook_FAIR.6862,1971,93.5,0.711369702420404,2,en-de,0.21088160728135874,0.6170564356893936
Facebook_FAIR.6862,1966,78.5,-0.370330013682306,2,en-de,-0.7867975234433517,-1.2127084559172854
Facebook_FAIR.6862,1706,99.5,0.716286723831953,2,en-de,0.6099532595712429,0.6253738947921346
Facebook_FAIR.6862,868,96.0,0.768830195317263,2,en-de,0.3771614624021438,0.7142545683984388
Facebook_FAIR.6862,1687,77.0,0.169336821809724,2,en-de,-0.8865654365158228,-0.29982716913507484
Facebook_FAIR.6862,1975,77.0,-0.271870380183313,2,en-de,-0.8865654365158228,-1.0461576304571336
Facebook_FAIR.6862,1978,94.0,0.659417453743957,2,en-de,0.24413757830551577,0.5291758536266763
Facebook_FAIR.6862,1983,97.5,0.898421394577507,2,en-de,0.4769293754746149,0.9334664468316995
Facebook_FAIR.6862,471,98.5,0.708085311362861,2,en-de,0.5434413175229289,0.611500676213879
Facebook_FAIR.6862,1626,82.0,1.23485107605025,2,en-de,-0.5540057262742526,1.5025589689885526
Facebook_FAIR.6862,867,73.0,-0.124876365103079,2,en-de,-1.152613204709079,-0.79750776574313
Facebook_FAIR.6862,881,92.0,0.650393187910185,2,en-de,0.11111369420888771,0.5139107254683235
Facebook_FAIR.6862,957,100.0,0.689013037967901,2,en-de,0.6432092305953999,0.5792386946845169
Facebook_FAIR.6862,987,99.5,0.676712809980039,2,en-de,0.6099532595712429,0.5584320650849112
Facebook_FAIR.6862,980,93.5,0.338772950926292,2,en-de,0.21088160728135874,-0.013215019929523597
Facebook_FAIR.6862,981,99.0,0.647779985632952,2,en-de,0.5766972885470859,0.5094903251387616
Facebook_FAIR.6862,984,88.5,-0.0523496567689067,2,en-de,-0.12167810296021139,-0.674824157124095
Facebook_FAIR.6862,1518,89.0,-0.100609514466815,2,en-de,-0.08842213193605439,-0.7564588215092545
Facebook_FAIR.6862,1934,94.0,0.891393170922167,2,en-de,0.24413757830551577,0.9215777528591851
Facebook_FAIR.6862,1683,87.5,0.639914866028384,2,en-de,-0.18819004500852543,0.49618596764796274
Facebook_FAIR.6862,877,89.0,0.476733813971955,2,en-de,-0.08842213193605439,0.22015468504388705
Facebook_FAIR.6862,1964,86.0,0.304446440273202,2,en-de,-0.2879579580809965,-0.0712805284152657
Facebook_FAIR.6862,1976,84.5,0.182883809072515,2,en-de,-0.3877258711534675,-0.27691156574580283
Facebook_FAIR.6862,478,99.0,0.740997175365773,2,en-de,0.5766972885470859,0.6671732185778857
Facebook_FAIR.6862,964,88.0,0.107828889070102,2,en-de,-0.15493407398436843,-0.4038718075932945
Facebook_FAIR.6862,966,89.5,0.101742251150277,2,en-de,-0.05516616091189737,-0.41416774851647786
Facebook_FAIR.6862,967,99.0,0.646413222339903,2,en-de,0.5766972885470859,0.5071783568063963
Facebook_FAIR.6862,973,99.0,0.647779985632952,2,en-de,0.5766972885470859,0.5094903251387616
Facebook_FAIR.6862,1511,61.5,-1.75847338656205,2,en-de,-1.9175005382646901,-3.5608425733627396
Facebook_FAIR.6862,1928,82.0,0.417780586764716,2,en-de,-0.5540057262742526,0.12043149589545335
Facebook_FAIR.6862,1685,67.5,-0.175619857078092,2,en-de,-1.518428885974806,-0.8833436578222473
Facebook_FAIR.6862,1689,96.0,0.844365156922983,2,en-de,0.3771614624021438,0.8420268316037675
Facebook_FAIR.6862,874,69.0,-0.159711197871917,2,en-de,-1.418660972902335,-0.8564331338989607
Facebook_FAIR.6862,1701,88.0,0.316547840222706,2,en-de,-0.15493407398436843,-0.05081022927654362
Facebook_FAIR.6862,1968,96.5,0.839700739761075,2,en-de,0.4104174334263008,0.8341366688944555
Facebook_FAIR.6862,1984,97.5,0.907987579999232,2,en-de,0.4769293754746149,0.9496482669530333
Facebook_FAIR.6862,479,85.5,-0.147623152712852,2,en-de,-0.3212139291051535,-0.8359854252502943
Facebook_FAIR.6862,959,99.5,0.667713130153902,2,en-de,0.6099532595712429,0.5432085257454566
Facebook_FAIR.6862,996,86.5,0.133741180746257,2,en-de,-0.25470198705683944,-0.3600394936301111
Facebook_FAIR.6862,1004,96.5,0.567012150939271,2,en-de,0.4104174334263008,0.3728663193323694
Facebook_FAIR.6862,1918,93.0,0.856395463365763,2,en-de,0.17762563625720174,0.8623768714869049
Facebook_FAIR.6862,1919,95.0,0.933542890942652,2,en-de,0.3106495203538298,0.9928767249643156
Facebook_FAIR.6862,1931,91.5,0.786018870870955,2,en-de,0.07785772318473069,0.74333032259636
Facebook_FAIR.6862,1932,88.5,0.681025748201744,2,en-de,-0.12167810296021139,0.5657276784795208
Facebook_FAIR.6862,1939,89.5,0.708871443294065,2,en-de,-0.05516616091189737,0.6128304691189477
Facebook_FAIR.6862,1630,73.5,0.416036763872246,2,en-de,-1.1193572336849218,0.1174817069121319
Facebook_FAIR.6862,876,90.0,0.524784721993925,2,en-de,-0.021910189887740354,0.3014358975648618
Facebook_FAIR.6862,879,12.0,-2.01833123393331,2,en-de,-5.209841669656234,-4.00040889555938
Facebook_FAIR.6862,1708,82.0,-0.0571134347764355,2,en-de,-0.5540057262742526,-0.6828823951173429
Facebook_FAIR.6862,1969,98.0,0.942131000118312,2,en-de,0.5101853464987719,1.0074040659823247
Facebook_FAIR.6862,1973,82.0,0.069563821007473,2,en-de,-0.5540057262742526,-0.4685996401642429
Facebook_FAIR.6862,1982,98.0,0.942131000118312,2,en-de,0.5101853464987719,1.0074040659823247
Facebook_FAIR.6862,477,92.5,0.458209274218361,2,en-de,0.14436966523304473,0.18881923032414105
Facebook_FAIR.6862,962,85.0,-0.369902364623006,2,en-de,-0.3544699001293105,-1.211985059929483
Facebook_FAIR.6862,961,98.0,0.533827045350082,2,en-de,0.5101853464987719,0.3167315711879101
Facebook_FAIR.6862,998,87.5,-0.165442274988099,2,en-de,-0.18819004500852543,-0.8661276207719556
Facebook_FAIR.6862,1003,95.5,0.485628325836231,2,en-de,0.3439054913779868,0.23520032598744622
Facebook_FAIR.6862,1517,98.0,0.560401215432452,2,en-de,0.5101853464987719,0.3616834951982963
Facebook_FAIR.6862,1520,99.0,0.638608577560694,2,en-de,0.5766972885470859,0.4939762963862363
Facebook_FAIR.6862,1521,93.5,0.326320791306353,2,en-de,0.21088160728135874,-0.03427865169170788
Facebook_FAIR.6862,1914,61.0,-0.372599368516386,2,en-de,-1.9507565092888473,-1.216547216102005
Facebook_FAIR.6862,1920,94.0,0.891393170922167,2,en-de,0.24413757830551577,0.9215777528591851
Facebook_FAIR.6862,1688,99.5,1.07564961830773,2,en-de,0.6099532595712429,1.233259427042285
Facebook_FAIR.6862,1974,85.5,0.11724405340652,2,en-de,-0.3212139291051535,-0.38794544938590353
Facebook_FAIR.6862,1987,68.0,-0.733392975579127,2,en-de,-1.485172914950649,-1.8268528910429924
Facebook_FAIR.6862,472,99.5,0.759402406279641,2,en-de,0.6099532595712429,0.6983068546940587
Facebook_FAIR.6862,960,99.0,0.57642686097808,2,en-de,0.5766972885470859,0.3887919090660307
Facebook_FAIR.6862,1926,25.5,-1.87606644170768,2,en-de,-4.311930452003995,-3.759758816566977
Facebook_FAIR.6862,1709,82.5,0.125368374148719,2,en-de,-0.5207497552500956,-0.37420263643982327
Facebook_FAIR.6862,1980,77.0,-0.338833678135389,2,en-de,-0.8865654365158228,-1.1594303713064729
Facebook_FAIR.6862,1988,65.5,-0.712786367740018,2,en-de,-1.651452770071434,-1.7919954837627559
Facebook_FAIR.6862,476,86.0,-0.129217921798984,2,en-de,-0.2879579580809965,-0.8048517891341213
Facebook_FAIR.6862,990,85.0,-0.109424146265658,2,en-de,-0.3544699001293105,-0.7713693401660158
Facebook_FAIR.6862,988,99.0,0.63852595252165,2,en-de,0.5766972885470859,0.4938365307993921
Facebook_FAIR.6862,977,99.0,0.647779985632952,2,en-de,0.5766972885470859,0.5094903251387616
Facebook_FAIR.6862,1515,97.5,0.521297534368332,2,en-de,0.4769293754746149,0.295537094604328
Facebook_FAIR.6862,1513,89.0,-0.0256123382707325,2,en-de,-0.08842213193605439,-0.6295962570374323
Facebook_FAIR.6862,1929,92.0,0.814245743345278,2,en-de,0.11111369420888771,0.7910778993817744
Facebook_FAIR.6862,1937,84.5,0.507062858771744,2,en-de,-0.3877258711534675,0.2714582220093627
Facebook_FAIR.6862,1682,78.5,0.223803665844643,2,en-de,-0.7867975234433517,-0.2076929867107833
Facebook_FAIR.6862,1963,97.0,0.864277974458428,2,en-de,0.44367340445045783,0.8757106478024097
Facebook_FAIR.6862,1979,93.0,0.629395355192699,2,en-de,0.17762563625720174,0.4783915360534325
